brand,product_title,category,price,list_price,discount,rating,review_count,review_text,review_rating,sentiment_score,sentiment_label,wheel_score,handle_score,material_score,zipper_score,size_score,durability_score
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Great luggage! The lightweight exceeded my expectations. Would definitely recommend to anyone looking for mid-premium options.,4,0.699,positive,0.521,0.634,0.79,0.517,0.714,0.747
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Looks good in photos but the handle wobble is frustrating. handle made noise from day one. Disappointing.,2,0.139,negative,0.635,0.638,0.694,0.445,0.854,0.631
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Really impressed with the good locks. Used it for my business trip and it held up perfectly. The zipper is excellent.,4,0.713,positive,0.639,0.675,0.713,0.511,0.779,0.803
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Perfect for my frequent Mumbai trips. spacious has been amazing. The material is sturdy and well made.,4,0.873,positive,0.558,0.649,0.736,0.497,0.772,0.819
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Bought this for my Goa and absolutely love it. lightweight is top notch. The wheels works smoothly.,4,0.696,positive,0.482,0.636,0.769,0.457,0.819,0.714
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Not happy with this purchase. The handle wobble is very noticeable. wheels quality is poor for the price.,3,0.298,negative,0.604,0.568,0.709,0.412,0.701,0.764
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Works fine for basic travel. size is acceptable. Not the best but not the worst either.,3,0.615,neutral,0.51,0.628,0.772,0.411,0.853,0.728
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Really impressed with the good locks. Used it for my Goa trip and it held up perfectly. The zipper is excellent.,4,0.929,positive,0.626,0.666,0.712,0.392,0.876,0.809
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Great luggage! The lightweight exceeded my expectations. Would definitely recommend to anyone looking for mid-premium options.,4,0.848,positive,0.639,0.533,0.756,0.501,0.893,0.806
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Quality has gone downhill. The handle wobble is a deal breaker. durability wobbles badly after light use.,2,0.378,negative,0.58,0.588,0.754,0.404,0.745,0.688
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Very happy with this purchase. spacious is great value for money. Perfect size for Delhi.,4,0.719,positive,0.631,0.672,0.664,0.428,0.834,0.663
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Bought this for my honeymoon and absolutely love it. lightweight is top notch. The handle works smoothly.,5,0.707,positive,0.469,0.586,0.735,0.473,0.846,0.755
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Great luggage! The durable exceeded my expectations. Would definitely recommend to anyone looking for mid-premium options.,4,0.725,positive,0.488,0.59,0.734,0.436,0.75,0.805
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Perfect for my frequent Goa trips. durable has been amazing. The wheels is sturdy and well made.,4,0.928,positive,0.62,0.533,0.747,0.423,0.78,0.632
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Excellent build quality. The durable is premium. zipper function is smooth and reliable. Happy customer!,5,0.736,positive,0.589,0.646,0.807,0.512,0.797,0.658
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Average product. durable is decent but the handle wobble needs improvement. Okay for occasional use.,3,0.395,neutral,0.567,0.601,0.821,0.411,0.892,0.636
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Bought this for my Delhi and absolutely love it. durable is top notch. The size works smoothly.,4,0.771,positive,0.638,0.614,0.766,0.388,0.716,0.751
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Looks good in photos but the handle wobble is frustrating. material made noise from day one. Disappointing.,2,0.129,negative,0.529,0.634,0.71,0.443,0.85,0.635
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,"After 1 uses, the size broke completely. The handle wobble is terrible. Would not recommend.",3,0.12,negative,0.503,0.687,0.826,0.556,0.774,0.652
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Works fine for basic travel. size is acceptable. Not the best but not the worst either.,4,0.461,neutral,0.583,0.688,0.677,0.403,0.721,0.731
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Amazing product! The size quality is superb. good locks makes travel so much easier. 5 stars!,4,0.711,positive,0.577,0.553,0.748,0.561,0.869,0.638
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Excellent build quality. The good locks is premium. wheels function is smooth and reliable. Happy customer!,4,0.881,positive,0.577,0.552,0.798,0.49,0.786,0.622
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Great luggage! The spacious exceeded my expectations. Would definitely recommend to anyone looking for mid-premium options.,4,0.825,positive,0.48,0.525,0.712,0.56,0.859,0.792
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Not happy with this purchase. The zipper quality is very noticeable. durability quality is poor for the price.,2,0.307,negative,0.627,0.581,0.774,0.411,0.886,0.793
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Quality has gone downhill. The zipper quality is a deal breaker. zipper wobbles badly after light use.,2,0.308,negative,0.532,0.634,0.797,0.43,0.732,0.76
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,"After 2 uses, the zipper broke completely. The zipper quality is terrible. Would not recommend.",2,0.165,negative,0.614,0.674,0.695,0.512,0.78,0.676
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Great luggage! The good locks exceeded my expectations. Would definitely recommend to anyone looking for mid-premium options.,5,0.749,positive,0.456,0.675,0.702,0.496,0.897,0.628
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Looks good in photos but the wheel noise is frustrating. material made noise from day one. Disappointing.,2,0.25,negative,0.552,0.577,0.765,0.431,0.842,0.62
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Very happy with this purchase. good locks is great value for money. Perfect size for Delhi.,4,0.837,positive,0.583,0.525,0.83,0.481,0.833,0.685
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Works fine for basic travel. size is acceptable. Not the best but not the worst either.,3,0.56,neutral,0.526,0.65,0.685,0.494,0.781,0.787
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Amazing product! The handle quality is superb. good locks makes travel so much easier. 5 stars!,5,0.832,positive,0.514,0.588,0.785,0.482,0.859,0.812
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Bought this for my family and absolutely love it. durable is top notch. The material works smoothly.,4,0.896,positive,0.6,0.635,0.695,0.42,0.705,0.669
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Perfect for my frequent weekend trips. durable has been amazing. The zipper is sturdy and well made.,5,0.708,positive,0.589,0.599,0.699,0.511,0.701,0.77
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,"Decent luggage for the price. zipper is okay, nothing special. The zipper quality is a minor concern.",4,0.52,neutral,0.46,0.55,0.82,0.471,0.86,0.754
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Best luggage I have owned in years. lightweight is solid and the size glides smoothly. No complaints at all.,5,0.784,positive,0.482,0.672,0.74,0.53,0.868,0.675
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Perfect for my frequent honeymoon trips. spacious has been amazing. The material is sturdy and well made.,4,0.864,positive,0.497,0.567,0.829,0.396,0.73,0.697
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Bought this for my weekend and absolutely love it. spacious is top notch. The wheels works smoothly.,5,0.749,positive,0.543,0.512,0.817,0.458,0.854,0.809
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Really impressed with the lightweight. Used it for my Goa trip and it held up perfectly. The zipper is excellent.,4,0.74,positive,0.528,0.678,0.817,0.488,0.847,0.78
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Average product. spacious is decent but the wheel noise needs improvement. Okay for occasional use.,3,0.511,neutral,0.528,0.634,0.81,0.525,0.868,0.804
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Really impressed with the lightweight. Used it for my Goa trip and it held up perfectly. The size is excellent.,4,0.843,positive,0.477,0.592,0.66,0.456,0.742,0.685
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Good enough for the price paid. wheel noise is a small issue. material functions adequately.,3,0.507,neutral,0.6,0.51,0.84,0.425,0.714,0.811
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,"Disappointed with the zipper quality. After just 2 months, the handle started giving issues.",3,0.1,negative,0.475,0.634,0.763,0.424,0.84,0.773
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Bought this for my business and absolutely love it. durable is top notch. The handle works smoothly.,4,0.824,positive,0.636,0.615,0.832,0.455,0.888,0.66
Safari,Safari Cabin Trolley 55cm,cabin,5000.0,7000.0,28,4.3,1183,Very happy with this purchase. durable is great value for money. Perfect size for business.,5,0.892,positive,0.609,0.613,0.658,0.487,0.832,0.634
